﻿participant_code,glasses,major,age,gender,consent_confirmed,photosensitivity_screen_passed,consented_at,ts,started_at,submitted_at,assumed_monitor_hz,refresh_hz,refresh_ok,refresh_samples,mean_frame_ms,user_agent,screen_json,registration_index,typing_order,counterbalance_index,rating_order_index,environment_confirmed,demo,debug
,glasses,,,,1,1,2026-07-08T01:19:06.133Z,2026-07-08 01:25:20,2026-07-08T01:07:06.439Z,2026-07-08T01:25:20.148Z,240.0,238.0952380978779,1,1442,4.199999999953434,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999976717, 4, 4], ""refresh_frame_ms_p95"": [4.300000000046566, 4.300000000046566, 4.300000000046566], ""refresh_median_frame_ms"": 4.199999999953434, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999976717, ""frame_ms_p95"": 4.300000000046566, ""hz"": 240.19515856637713, ""mean_frame_ms"": 4.163281249999272, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}, {""frame_ms_p05"": 4, ""frame_ms_p95"": 4.300000000046566, ""hz"": 240.03990273712714, ""mean_frame_ms"": 4.1659740259731795, ""median_frame_ms"": 4.199999999953434, ""samples"": 481}, {""frame_ms_p05"": 4, ""frame_ms_p95"": 4.300000000046566, ""hz"": 240.0848091793674, ""mean_frame_ms"": 4.165194805194442, ""median_frame_ms"": 4.199999999953434, ""samples"": 481}], ""width"": 1920}",5,BAAB,1,2,1,0,0
,glasses,,,,1,1,2026-07-08T01:26:04.932Z,2026-07-08 01:31:30,2026-07-08T01:25:26.650Z,2026-07-08T01:31:30.444Z,240.0,238.0952380954031,1,1442,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4, 4.099999999998545, 4.099999999998545], ""refresh_frame_ms_p95"": [4.30000000000291, 4.299999999995634, 4.299999999995634], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.08480917935213, ""mean_frame_ms"": 4.165194805194707, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999995634, ""hz"": 240.21018391090806, ""mean_frame_ms"": 4.163020833333576, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999995634, ""hz"": 240.03990273707817, ""mean_frame_ms"": 4.165974025974029, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}], ""width"": 1920}",6,ABBA,0,3,1,0,0
,glasses,,,,1,1,2026-07-08T01:32:17.291Z,2026-07-08 01:37:40,2026-07-08T01:32:14.065Z,2026-07-08T01:37:40.412Z,240.0,238.09523809519686,1,1441,4.200000000000728,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999998545, 4.099999999998545, 4.099999999998545], ""refresh_frame_ms_p95"": [4.299999999999272, 4.299999999999272, 4.299999999999272], ""refresh_median_frame_ms"": 4.200000000000728, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.19515856632466, ""mean_frame_ms"": 4.163281250000182, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.0698384984651, ""mean_frame_ms"": 4.16545454545467, ""median_frame_ms"": 4.200000000000728, ""samples"": 481}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.0900337626526, ""mean_frame_ms"": 4.165104166666812, ""median_frame_ms"": 4.200000000000728, ""samples"": 480}], ""width"": 1920}",7,BAAB,1,3,1,0,0
,glasses,,,,1,1,2026-07-08T01:38:15.484Z,2026-07-08 01:43:10,2026-07-08T01:37:45.284Z,2026-07-08T01:43:10.947Z,240.0,238.0952380954031,1,1441,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999998545, 4.099999999998545, 4.099999999998545], ""refresh_frame_ms_p95"": [4.200000000004366, 4.30000000000291, 4.299999999995634], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.200000000004366, ""hz"": 240.06001500376644, ""mean_frame_ms"": 4.165624999999731, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.27030409211062, ""mean_frame_ms"": 4.161979166666545, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999995634, ""hz"": 240.14471057884165, ""mean_frame_ms"": 4.1641558441558555, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}], ""width"": 1920}",8,ABBA,0,4,1,0,0
,glasses,,,,1,1,2026-07-08T01:47:51.403Z,2026-07-08 01:52:51,2026-07-08T01:43:16.171Z,2026-07-08T01:52:51.459Z,240.0,238.0952380978779,1,1440,4.199999999953434,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.0949999999778814, 4.099999999976717, 4.099999999976717], ""refresh_frame_ms_p95"": [4.2999999999883585, 4.2999999999883585, 4.2999999999883585], ""refresh_median_frame_ms"": 4.199999999953434, ""refresh_runs"": [{""frame_ms_p05"": 4.0949999999778814, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.15009380854295, ""mean_frame_ms"": 4.164062500001516, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}, {""frame_ms_p05"": 4.099999999976717, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.09003376253517, ""mean_frame_ms"": 4.16510416666885, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}, {""frame_ms_p05"": 4.099999999976717, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.1500938084905, ""mean_frame_ms"": 4.164062500002426, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}], ""width"": 1920}",9,BAAB,1,4,1,0,0
,glasses,,,,1,1,2026-07-08T01:58:37.443Z,2026-07-08 02:12:54,2026-07-08T01:52:54.406Z,2026-07-08T02:12:54.659Z,240.0,238.0952380978779,1,1441,4.199999999953434,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4, 4.099999999976717, 4.099999999976717], ""refresh_frame_ms_p95"": [4.2999999999883585, 4.2999999999883585, 4.2999999999883585], ""refresh_median_frame_ms"": 4.199999999953434, ""refresh_runs"": [{""frame_ms_p05"": 4, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.17467248894343, ""mean_frame_ms"": 4.1636363636387825, ""median_frame_ms"": 4.199999999953434, ""samples"": 481}, {""frame_ms_p05"": 4.099999999976717, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.22521113529953, ""mean_frame_ms"": 4.162760416669092, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}, {""frame_ms_p05"": 4.099999999976717, ""frame_ms_p95"": 4.2999999999883585, ""hz"": 240.1200600298909, ""mean_frame_ms"": 4.164583333335486, ""median_frame_ms"": 4.199999999953434, ""samples"": 480}], ""width"": 1920}",10,ABBA,0,5,1,0,0
,glasses,,,,1,1,2026-07-08T02:13:10.779Z,2026-07-08 02:18:49,2026-07-08T02:12:57.808Z,2026-07-08T02:18:49.835Z,240.0,238.0952380954031,1,1443,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999998545, 4.099999999998545, 4.099999999998545], ""refresh_frame_ms_p95"": [4.299999999999272, 4.299999999999272, 4.299999999999272], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.0848091793407, ""mean_frame_ms"": 4.165194805194905, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.11475614318516, ""mean_frame_ms"": 4.164675324675508, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.1746724890726, ""mean_frame_ms"": 4.163636363636543, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}], ""width"": 1920}",11,BAAB,1,5,1,0,0
,glasses,,,,1,1,2026-07-08T02:19:25.147Z,2026-07-08 02:26:04,2026-07-08T02:18:58.629Z,2026-07-08T02:26:04.371Z,240.0,238.0952380954031,1,1442,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999998545, 4, 4.099999999998545], ""refresh_frame_ms_p95"": [4.299999999995634, 4.30000000000291, 4.30000000000291], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999995634, ""hz"": 240.0900337626553, ""mean_frame_ms"": 4.165104166666765, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.20464187671206, ""mean_frame_ms"": 4.163116883116947, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.12973242687025, ""mean_frame_ms"": 4.164415584415573, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}], ""width"": 1920}",12,ABBA,0,0,1,0,0
,glasses,,,,1,1,2026-07-08T02:26:38.155Z,2026-07-08 02:35:27,2026-07-08T02:26:20.235Z,2026-07-08T02:35:27.771Z,240.0,238.0952380954031,1,1441,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4, 4.099999999998545, 4.099999999998545], ""refresh_frame_ms_p95"": [4.299999999999272, 4.299999999999272, 4.299999999999272], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.06001500374842, ""mean_frame_ms"": 4.165625000000044, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.16511351553353, ""mean_frame_ms"": 4.163802083333479, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999998545, ""frame_ms_p95"": 4.299999999999272, ""hz"": 240.15969059946104, ""mean_frame_ms"": 4.163896103896147, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}], ""width"": 1920}",13,BAAB,1,0,1,0,0
,glasses,,,,1,1,2026-07-08T02:36:35.787Z,2026-07-08 02:42:15,2026-07-08T02:35:33.897Z,2026-07-08T02:42:15.595Z,240.0,238.0952380954031,1,1441,4.19999999999709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36","{""avail_height"": 1040, ""avail_width"": 1920, ""color_depth"": 30, ""device_pixel_ratio"": 1, ""fullscreen"": true, ""height"": 1080, ""inner_height"": 1080, ""inner_width"": 1920, ""outer_height"": 1064, ""outer_width"": 1904, ""refresh_frame_ms_p05"": [4.099999999991269, 4.099999999991269, 4.099999999991269], ""refresh_frame_ms_p95"": [4.30000000000291, 4.30000000000291, 4.30000000000291], ""refresh_median_frame_ms"": 4.19999999999709, ""refresh_runs"": [{""frame_ms_p05"": 4.099999999991269, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.2101839108796, ""mean_frame_ms"": 4.163020833334069, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}, {""frame_ms_p05"": 4.099999999991269, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.23461874450214, ""mean_frame_ms"": 4.1625974025980605, ""median_frame_ms"": 4.19999999999709, ""samples"": 481}, {""frame_ms_p05"": 4.099999999991269, ""frame_ms_p95"": 4.30000000000291, ""hz"": 240.21018391089058, ""mean_frame_ms"": 4.163020833333879, ""median_frame_ms"": 4.19999999999709, ""samples"": 480}], ""width"": 1920}",14,ABBA,0,1,1,0,0
