participant_id,participant_code,batch,date_utc,status,reasons,reason_zh,typing_rows,rating_rows,control_mean_accuracy,minimum_rating_view_ms,maximum_rating_view_ms,within_condition_straightline_rows
1,,historical,2026-07-03,excluded,pilot_session,历史试运行（沿用旧报告）,4,6,1.0,10320,16241,4
2,,historical,2026-07-06,excluded,pilot_session,历史试运行（沿用旧报告）,4,6,1.0,10928,93885,5
3,,historical,2026-07-06,excluded,pilot_session,历史试运行（沿用旧报告）,4,6,1.0,10475,20475,6
4,,historical,2026-07-06,excluded,pilot_session,历史试运行（沿用旧报告）,4,6,0.9923076923076923,31263,172192,5
5,,historical,2026-07-06,excluded,pilot_session,历史试运行（沿用旧报告）,4,6,1.0,10819,426703,4
6,P001,historical,2026-07-08,included,,,4,6,0.9616487455197134,10814,25180,1
7,P002,historical,2026-07-08,included,,,4,6,1.0,10871,17397,2
8,P003,historical,2026-07-08,included,,,4,6,1.0,10370,28047,3
9,P004,historical,2026-07-08,included,,,4,6,0.890625,10575,12906,2
10,P005,historical,2026-07-08,included,,,4,6,0.9377289377289377,10599,18961,1
11,P006,historical,2026-07-08,included,,,4,6,1.0,10471,16203,4
12,P007,historical,2026-07-08,included,,,4,6,1.0,10983,33343,2
13,P008,historical,2026-07-08,included,,,4,6,1.0,12619,18949,1
14,P009,historical,2026-07-08,included,,,4,6,1.0,10051,12908,5
15,P010,historical,2026-07-08,included,,,4,6,0.94375,10419,28563,1
16,P011,historical,2026-07-08,included,,,4,6,1.0,10643,15171,4
17,P012,historical,2026-07-08,included,,,4,6,0.9897959183673469,10190,11288,4
18,P013,historical,2026-07-08,included,,,4,6,1.0,10329,31040,2
19,P014,historical,2026-07-08,included,,,4,6,0.9863013698630136,10321,15629,5
20,P015,historical,2026-07-08,included,,,4,6,0.9791666666666667,10615,42304,4
21,P016,historical,2026-07-08,included,,,4,6,0.9871794871794872,10473,12567,6
22,P017,historical,2026-07-08,included,,,4,6,1.0,10308,12566,6
23,P018,historical,2026-07-08,included,,,4,6,1.0,10487,16445,6
24,P019,historical,2026-07-08,included,,,4,6,0.9516129032258065,10461,21788,4
25,,historical,2026-07-08,excluded,rating_straightline_minimum_view,6个条件均观看≤11秒，且每个条件内三项评分相同,4,6,1.0,10364,10959,6
26,P020,historical,2026-07-08,included,,,4,6,0.9150268336314848,10241,16398,4
27,P021,historical,2026-07-08,included,,,4,6,0.9290450928381964,10505,27173,3
28,P022,historical,2026-07-08,included,,,4,6,0.9162971175166297,10125,11268,3
29,P023,historical,2026-07-08,included,,,4,6,0.890625,10545,14752,6
30,P024,historical,2026-07-08,included,,,4,6,0.9833333333333334,10286,17773,5
31,P025,historical,2026-07-08,included,,,4,6,1.0,10518,19191,6
32,P026,historical,2026-07-08,included,,,4,6,0.9878048780487805,10074,26191,3
33,,historical,2026-07-08,excluded,rating_straightline_minimum_view,6个条件均观看≤11秒，且每个条件内三项评分相同,4,6,0.9659090909090909,10388,10523,6
34,P027,historical,2026-07-08,included,,,4,6,0.9764412416851441,10377,23410,3
35,P028,historical,2026-07-08,included,,,4,6,1.0,10503,12205,6
36,P029,historical,2026-07-08,included,,,4,6,1.0,10515,24942,2
37,P030,historical,2026-07-08,included,,,4,6,0.9642857142857143,10485,15014,2
38,,historical,2026-07-08,excluded,rating_straightline_minimum_view,6个条件均观看≤11秒，且每个条件内三项评分相同,4,6,0.9797794117647058,10195,10725,6
39,P031,historical,2026-07-08,included,,,4,6,0.7367172675521821,10380,24317,6
40,,historical,2026-07-08,excluded,control_accuracy_below_50pct,control两次平均准确率低于50%,4,6,0.180792062047749,10647,11010,6
41,P032,historical,2026-07-13,included,,,4,6,0.984375,10541,20141,4
42,P033,historical,2026-07-13,included,,,4,6,0.9871794871794872,10719,16711,5
43,P034,historical,2026-07-13,included,,,4,6,0.8059440559440559,10327,17157,1
44,P035,historical,2026-07-13,included,,,4,6,0.94,10686,12752,6
45,P036,historical,2026-07-13,included,,,4,6,1.0,10351,18928,6
46,P037,historical,2026-07-13,included,,,4,6,1.0,10834,15011,2
47,P038,historical,2026-07-13,included,,,4,6,1.0,10565,23104,1
48,,historical,2026-07-13,excluded,control_accuracy_below_50pct,control两次平均准确率低于50%,4,6,0.44526315789473686,10558,11113,2
49,P039,historical,2026-07-13,included,,,4,6,0.9117647058823529,10256,14918,1
50,P040,historical,2026-07-13,included,,,4,6,0.9915254237288136,11229,26126,1
51,P041,historical,2026-07-13,included,,,4,6,1.0,10422,21660,3
52,P042,historical,2026-07-13,included,,,4,6,1.0,10526,12953,5
53,P043,historical,2026-07-13,included,,,4,6,0.9833333333333334,10628,13846,2
54,P044,historical,2026-07-13,included,,,4,6,1.0,10486,11616,6
55,P045,historical,2026-07-13,included,,,4,6,0.9905660377358491,10667,16215,2
56,P046,historical,2026-07-13,included,,,4,6,1.0,10720,14856,1
57,P047,historical,2026-07-13,included,,,4,6,0.9888888888888889,10315,11587,5
58,P048,historical,2026-07-13,included,,,4,6,0.9509869521579124,10750,17131,6
59,P049,historical,2026-07-13,included,,,4,6,0.9861111111111112,10654,11527,5
60,P050,historical,2026-07-13,included,,,4,6,0.890625,10400,12114,4
61,P051,historical,2026-07-13,included,,,4,6,0.9861111111111112,12110,22225,1
62,P052,historical,2026-07-13,included,,,4,6,1.0,10733,11803,4
63,P053,historical,2026-07-13,included,,,4,6,0.9464285714285714,10500,21960,3
64,P054,historical,2026-07-13,included,,,4,6,1.0,10437,16076,2
65,P055,historical,2026-07-13,included,,,4,6,0.8490073145245559,10542,18064,5
66,P056,historical,2026-07-13,included,,,4,6,0.941722972972973,10472,24590,2
67,P057,historical,2026-09-08,included,,,4,6,1.0,10966,20815,2
68,P058,historical,2026-09-08,included,,,4,6,1.0,10778,15557,2
69,P059,historical,2026-09-08,included,,,4,6,0.9746031746031746,10293,14786,2
70,,historical,2026-09-08,excluded,rating_straightline_minimum_view,6个条件均观看≤11秒，且每个条件内三项评分相同,4,6,0.9545454545454546,10395,10908,6
71,P060,historical,2026-09-08,included,,,4,6,0.984375,10424,11023,3
72,P061,historical,2026-09-08,included,,,4,6,1.0,10453,11691,5
73,P062,historical,2026-09-08,included,,,4,6,1.0,11005,17680,4
74,P063,historical,2026-09-08,included,,,4,6,0.9419913419913419,11063,19999,3
75,P064,historical,2026-09-08,included,,,4,6,0.9852941176470589,10493,12908,4
76,P065,historical,2026-09-08,included,,,4,6,1.0,10148,10709,2
77,P066,historical,2026-09-10,included,,,4,6,0.9772727272727273,10846,34206,3
78,P067,historical,2026-09-10,included,,,4,6,0.9848484848484849,10662,36526,3
79,P068,historical,2026-09-10,included,,,4,6,0.8542875564152159,10355,11147,5
80,P069,historical,2026-09-10,included,,,4,6,0.9888888888888889,10510,16132,2
81,P070,historical,2026-09-10,included,,,4,6,1.0,10400,11876,1
82,P071,historical,2026-09-10,included,,,4,6,0.986842105263158,10047,15537,2
83,P072,historical,2026-09-10,included,,,4,6,0.9857142857142858,10822,17866,2
84,P073,historical,2026-09-10,included,,,4,6,0.9618055555555556,10514,13027,1
85,P074,historical,2026-09-10,included,,,4,6,1.0,10628,26797,1
86,P075,historical,2026-09-10,included,,,4,6,0.9714285714285714,10616,23558,3
87,P076,historical,2026-09-10,included,,,4,6,1.0,10518,16453,4
88,P077,historical,2026-09-10,included,,,4,6,0.9929577464788732,10646,22473,1
89,P078,historical,2026-09-10,included,,,4,6,0.9684729064039409,10246,11173,5
90,P079,historical,2026-09-10,included,,,4,6,1.0,10582,22449,2
91,P080,historical,2026-09-10,included,,,4,6,1.0,10706,18500,3
92,P081,historical,2026-09-10,included,,,4,6,0.9878048780487805,10646,18869,6
93,P082,historical,2026-09-10,included,,,4,6,1.0,10349,31369,2
94,P083,historical,2026-09-10,included,,,4,6,0.9736842105263158,10311,16521,1
95,P084,historical,2026-09-10,included,,,4,6,0.9848484848484849,10562,18007,1
96,P085,historical,2026-09-10,included,,,4,6,0.9811320754716981,10469,16481,1
97,P086,historical,2026-09-10,included,,,4,6,1.0,16132,25350,0
98,P087,historical,2026-09-10,included,,,4,6,0.9583333333333333,10446,19028,1
99,P088,historical,2026-09-10,included,,,4,6,1.0,10460,21068,4
100,P089,historical,2026-09-10,included,,,4,6,1.0,10764,13537,3
101,P090,historical,2026-09-10,included,,,4,6,1.0,10334,27800,0
102,P091,historical,2026-09-10,included,,,4,6,0.9516089412920659,10502,18016,3
103,P092,historical,2026-09-10,included,,,4,6,0.9533045977011494,10558,26300,2
104,P093,historical,2026-09-10,included,,,4,6,1.0,10393,20129,3
105,P094,historical,2026-09-10,included,,,4,6,0.9464285714285714,10806,30513,4
106,P095,new,2026-09-12,included,,,4,6,1.0,24926,57511,2
107,P096,new,2026-09-12,included,,,4,6,1.0,10622,23904,5
108,P097,new,2026-09-12,included,,,4,6,1.0,10312,12390,1
109,P098,new,2026-09-12,included,,,4,6,0.9852941176470589,11678,20293,2
110,P099,new,2026-09-12,included,,,4,6,0.9591666666666667,10128,11198,3
111,P100,new,2026-09-12,included,,,4,6,0.9318181818181819,10551,15748,1
112,P101,new,2026-09-12,included,,,4,6,0.9857142857142858,10966,41731,0
113,P102,new,2026-09-12,included,,,4,6,0.9865717375630858,10467,17279,2
114,P103,new,2026-09-12,included,,,4,6,0.9848484848484849,10145,33448,0
115,P104,new,2026-09-12,included,,,4,6,0.9737891737891738,10742,19073,4
116,P105,new,2026-09-12,included,,,4,6,1.0,11774,42043,1
117,P106,new,2026-09-12,included,,,4,6,0.9350446428571428,10418,17123,4
