participant_code,batch_id,vision_correction,typing_order,rating_order_index
P001,july,glasses,BAAB,2
P002,july,glasses,ABBA,3
P003,july,glasses,BAAB,3
P004,july,glasses,ABBA,4
P005,july,glasses,BAAB,4
P006,july,glasses,ABBA,5
P007,july,glasses,BAAB,5
P008,july,glasses,ABBA,0
P009,july,glasses,BAAB,0
P010,july,glasses,ABBA,1
P011,july,glasses,BAAB,1
P012,july,glasses,ABBA,2
P013,july,glasses,BAAB,2
P014,july,glasses,ABBA,3
P015,july,glasses,BAAB,3
P016,july,glasses,ABBA,4
P017,july,glasses,BAAB,4
P018,july,glasses,ABBA,5
P019,july,glasses,BAAB,5
P020,july,glasses,BAAB,0
P021,july,glasses,ABBA,1
P022,july,glasses,BAAB,1
P023,july,glasses,ABBA,2
P024,july,none,BAAB,2
P025,july,glasses,ABBA,3
P026,july,glasses,BAAB,3
P027,july,contacts,BAAB,4
P028,july,none,ABBA,5
P029,july,glasses,BAAB,5
P030,july,glasses,ABBA,0
P031,july,glasses,ABBA,1
P032,july,none,ABBA,2
P033,july,glasses,BAAB,2
P034,july,none,ABBA,3
P035,july,glasses,BAAB,3
P036,july,glasses,ABBA,4
P037,july,none,BAAB,4
P038,july,glasses,ABBA,5
P039,july,glasses,ABBA,0
P040,july,glasses,BAAB,0
P041,july,none,ABBA,1
P042,july,none,BAAB,1
P043,july,glasses,ABBA,2
P044,july,glasses,BAAB,2
P045,july,glasses,ABBA,3
P046,july,glasses,BAAB,3
P047,july,glasses,ABBA,4
P048,july,glasses,BAAB,4
P049,july,none,ABBA,5
P050,july,none,BAAB,5
P051,july,glasses,ABBA,0
P052,july,glasses,BAAB,0
P053,july,glasses,ABBA,1
P054,july,glasses,BAAB,1
P055,july,glasses,ABBA,2
P056,july,glasses,BAAB,2
P057,sep08,glasses,ABBA,3
P058,sep08,contacts,BAAB,3
P059,sep08,glasses,ABBA,4
P060,sep08,glasses,ABBA,5
P061,sep08,glasses,BAAB,5
P062,sep08,glasses,ABBA,0
P063,sep08,glasses,BAAB,0
P064,sep08,glasses,ABBA,1
P065,sep08,glasses,BAAB,1
P066,sep10_12,glasses,ABBA,2
P067,sep10_12,glasses,BAAB,2
P068,sep10_12,glasses,ABBA,3
P069,sep10_12,glasses,BAAB,3
P070,sep10_12,glasses,ABBA,4
P071,sep10_12,glasses,BAAB,4
P072,sep10_12,glasses,ABBA,5
P073,sep10_12,none,BAAB,5
P074,sep10_12,glasses,ABBA,0
P075,sep10_12,none,BAAB,0
P076,sep10_12,glasses,ABBA,1
P077,sep10_12,glasses,BAAB,1
P078,sep10_12,glasses,ABBA,2
P079,sep10_12,none,BAAB,2
P080,sep10_12,glasses,ABBA,3
P081,sep10_12,glasses,BAAB,3
P082,sep10_12,none,ABBA,4
P083,sep10_12,glasses,BAAB,4
P084,sep10_12,glasses,ABBA,5
P085,sep10_12,glasses,BAAB,5
P086,sep10_12,glasses,ABBA,0
P087,sep10_12,glasses,BAAB,0
P088,sep10_12,glasses,ABBA,1
P089,sep10_12,glasses,BAAB,1
P090,sep10_12,glasses,ABBA,2
P091,sep10_12,none,BAAB,2
P092,sep10_12,glasses,ABBA,3
P093,sep10_12,glasses,BAAB,3
P094,sep10_12,glasses,ABBA,4
P095,sep10_12,glasses,BAAB,4
P096,sep10_12,glasses,ABBA,5
P097,sep10_12,glasses,BAAB,5
P098,sep10_12,glasses,ABBA,0
P099,sep10_12,glasses,BAAB,0
P100,sep10_12,glasses,ABBA,1
P101,sep10_12,glasses,BAAB,1
P102,sep10_12,none,ABBA,2
P103,sep10_12,none,BAAB,2
P104,sep10_12,glasses,ABBA,3
P105,sep10_12,glasses,BAAB,3
P106,sep10_12,glasses,ABBA,4
