participant_code,batch_id,n3_mask_noise_readability,n3_mask_noise_stability,n3_mask_noise_immediate_comfort,n4_mask_noise_readability,n4_mask_noise_stability,n4_mask_noise_immediate_comfort,n2_mask_noise_readability,n2_mask_noise_stability,n2_mask_noise_immediate_comfort,n4_mask_only_readability,n4_mask_only_stability,n4_mask_only_immediate_comfort,control_anchor_readability,control_anchor_stability,control_anchor_immediate_comfort,deployed_full_readability,deployed_full_stability,deployed_full_immediate_comfort
P001,july,4,3,3,4,4,3,5,5,4,2,3,2,5,5,5,2,1,1
P002,july,5,5,4,4,4,5,5,5,5,5,3,4,5,5,5,4,3,4
P003,july,5,5,5,5,2,4,5,5,5,5,4,4,5,5,5,5,3,4
P004,july,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,4,4
P005,july,3,5,3,4,5,3,4,5,3,4,5,4,5,5,5,4,2,3
P006,july,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5
P007,july,3,5,3,3,5,3,4,5,4,3,5,4,5,5,5,4,4,4
P008,july,3,5,4,2,2,1,4,5,5,3,3,2,5,5,5,3,2,1
P009,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
P010,july,4,5,3,3,5,3,4,5,3,4,5,3,5,5,3,3,3,3
P011,july,5,5,5,3,5,3,5,5,5,4,4,4,5,5,5,3,2,3
P012,july,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,3,3,3
P013,july,4,5,4,4,5,3,5,5,5,4,5,4,5,5,5,2,1,3
P014,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
P015,july,4,4,4,5,5,4,5,5,5,4,4,4,5,5,5,3,2,2
P016,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P017,july,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
P018,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P019,july,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,3
P020,july,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5
P021,july,3,2,3,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5
P022,july,5,5,5,5,3,3,5,5,5,3,5,3,5,5,5,2,5,3
P023,july,4,4,4,4,4,4,4,4,4,3,3,3,5,5,5,3,3,3
P024,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4
P025,july,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,3,3,3
P026,july,3,4,3,4,4,4,4,4,4,3,4,3,5,5,5,3,2,3
P027,july,3,3,3,3,2,3,3,4,4,3,2,2,4,4,4,2,2,2
P028,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P029,july,4,4,4,4,5,4,5,5,5,4,5,3,4,1,3,5,1,3
P030,july,4,4,3,3,4,3,4,4,4,3,4,3,4,4,4,4,2,3
P031,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P032,july,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4
P033,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
P034,july,3,5,3,5,5,4,4,5,3,4,5,4,5,5,5,3,3,2
P035,july,4,4,4,3,3,3,5,5,5,3,3,3,5,5,5,2,2,2
P036,july,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
P037,july,4,5,3,5,5,4,5,5,4,5,5,5,5,5,5,5,4,2
P038,july,4,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,2,5
P039,july,4,4,3,5,4,4,5,5,4,4,4,3,5,5,5,3,3,2
P040,july,3,5,3,3,3,3,3,5,2,3,3,2,5,5,3,2,2,1
P041,july,4,5,4,4,4,4,5,5,5,3,4,4,5,5,5,3,1,3
P042,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4
P043,july,5,4,2,4,3,2,5,5,5,4,3,3,5,5,5,3,1,3
P044,july,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,2,2,2
P045,july,3,4,4,5,3,4,5,5,4,4,4,4,5,5,5,3,2,2
P046,july,2,5,3,2,3,1,2,2,3,3,5,3,4,3,3,1,1,1
P047,july,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P048,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P049,july,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
P050,july,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,5,5,5
P051,july,4,5,4,3,5,4,4,5,5,3,5,4,5,5,5,4,2,4
P052,july,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4
P053,july,4,4,4,3,4,3,4,3,4,3,4,3,5,5,5,2,2,2
P054,july,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,4,2,3
P055,july,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,2
P056,july,4,5,4,4,5,3,5,5,5,3,5,3,5,5,4,3,3,3
P057,sep08,4,4,3,4,3,3,4,4,3,3,3,3,5,5,5,2,1,1
P058,sep08,5,5,3,4,5,3,5,5,5,4,5,3,5,5,5,4,3,3
