participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P001,july,n3_mask_noise,0,3,25180,4,3,3,78.78749938049903,78.78749938049903,0.015000815261699005
P001,july,n4_mask_noise,1,4,16599,4,4,3,58.531670260329825,58.531670260329825,0.0242409402546523
P001,july,n2_mask_noise,2,2,15113,5,5,4,117.76162035834848,117.76162035834848,0.0183982683982684
P001,july,n4_mask_only,3,4,15351,2,3,2,59.40444026025074,59.40444026025074,0.009940891993551854
P001,july,control_anchor,4,1,10814,5,5,5,240.0029607150137,240.0029607150137,0
P001,july,deployed_full,5,4,11278,2,1,1,47.08871332614067,37.67097066091254,0.2138291690877397
P002,july,n4_mask_noise,0,4,17397,4,4,5,59.68586986364048,59.68586986364048,0.005243088655862726
P002,july,n4_mask_only,1,4,13983,5,3,4,59.91102605665494,59.91102605665494,0.001487652484379649
P002,july,n3_mask_noise,2,3,11794,5,5,4,79.60677458994473,79.60677458994473,0.00492091388400703
P002,july,deployed_full,3,4,12166,4,3,4,58.20631236390615,46.56504989112492,0.029587765957446808
P002,july,n2_mask_noise,4,2,11002,5,5,5,119.72763210387023,119.72763210387023,0.0022667170381564035
P002,july,control_anchor,5,1,10871,5,5,5,240.00294369267826,240.00294369267826,0
P003,july,n4_mask_noise,0,4,15193,5,2,4,59.67301738976771,59.67301738976771,0.00545404963185165
P003,july,n4_mask_only,1,4,28047,5,4,4,59.9647266313933,59.9647266313933,0.0005938242280285036
P003,july,n3_mask_noise,2,3,14387,5,5,5,79.70076447201122,79.70076447201122,0.0037496394577444477
P003,july,deployed_full,3,4,15009,5,3,4,58.52152721364744,46.81722177091795,0.02437703141928494
P003,july,n2_mask_noise,4,2,10370,5,5,5,119.7599030377654,119.7599030377654,0.002004008016032064
P003,july,control_anchor,5,1,10582,5,5,5,240.00378107571603,240.00378107571603,0
P004,july,n4_mask_only,0,4,12906,5,4,4,59.76864249168492,59.76864249168492,0.0038585209003215433
P004,july,deployed_full,1,4,10748,5,4,4,58.108631609293965,46.48690528743517,0.031167855801727377
P004,july,n4_mask_noise,2,4,11229,5,5,5,59.80118049083566,59.80118049083566,0.0033284023668639054
P004,july,control_anchor,3,1,10575,5,4,5,240.00302723566057,240.00302723566057,0
P004,july,n3_mask_noise,4,3,10641,5,5,5,79.56460652280265,79.56460652280265,0.005451713395638629
P004,july,n2_mask_noise,5,2,11073,5,4,5,119.10416461288919,119.10416461288919,0.0074682598954443615
P005,july,n4_mask_only,0,4,18961,4,5,4,59.84283858344338,59.84283858344338,0.0026298487836949377
P005,july,deployed_full,1,4,16646,4,2,3,58.76451829275472,47.01161463420378,0.020353114271701816
P005,july,n4_mask_noise,2,4,15393,4,5,3,59.80628912901298,59.80628912901298,0.0032371189641219314
P005,july,control_anchor,3,1,10599,5,5,5,240.00302009305764,240.00302009305764,0
P005,july,n3_mask_noise,4,3,16148,3,5,3,79.56987922868984,79.56987922868984,0.005388760585065435
P005,july,n2_mask_noise,5,2,11328,4,5,3,119.56168045942692,119.56168045942692,0.003664345914254306
P006,july,deployed_full,0,4,16203,5,3,5,58.569388456046006,46.85551076483681,0.023606228026117528
P006,july,control_anchor,1,1,10543,5,5,5,240.00227760168488,240.00227760168488,0
P006,july,n4_mask_only,2,4,12302,5,5,4,59.8990661181834,59.8990661181834,0.0016903313049357674
