participant_code,main_sample,batch_id,rating_sensitivity_base_ge_50hz,note
P001,True,july,False,rating-only exploratory subset; main sample unchanged
P002,True,july,True,rating-only exploratory subset; main sample unchanged
P003,True,july,True,rating-only exploratory subset; main sample unchanged
P004,True,july,True,rating-only exploratory subset; main sample unchanged
P005,True,july,True,rating-only exploratory subset; main sample unchanged
P006,True,july,True,rating-only exploratory subset; main sample unchanged
P007,True,july,True,rating-only exploratory subset; main sample unchanged
P008,True,july,True,rating-only exploratory subset; main sample unchanged
P009,True,july,True,rating-only exploratory subset; main sample unchanged
P010,True,july,True,rating-only exploratory subset; main sample unchanged
P011,True,july,True,rating-only exploratory subset; main sample unchanged
P012,True,july,True,rating-only exploratory subset; main sample unchanged
P013,True,july,True,rating-only exploratory subset; main sample unchanged
P014,True,july,True,rating-only exploratory subset; main sample unchanged
P015,True,july,True,rating-only exploratory subset; main sample unchanged
P016,True,july,True,rating-only exploratory subset; main sample unchanged
P017,True,july,True,rating-only exploratory subset; main sample unchanged
P018,True,july,True,rating-only exploratory subset; main sample unchanged
P019,True,july,True,rating-only exploratory subset; main sample unchanged
P020,True,july,True,rating-only exploratory subset; main sample unchanged
P021,True,july,True,rating-only exploratory subset; main sample unchanged
P022,True,july,True,rating-only exploratory subset; main sample unchanged
P023,True,july,True,rating-only exploratory subset; main sample unchanged
P024,True,july,True,rating-only exploratory subset; main sample unchanged
P025,True,july,True,rating-only exploratory subset; main sample unchanged
P026,True,july,True,rating-only exploratory subset; main sample unchanged
P027,True,july,True,rating-only exploratory subset; main sample unchanged
P028,True,july,True,rating-only exploratory subset; main sample unchanged
P029,True,july,True,rating-only exploratory subset; main sample unchanged
P030,True,july,True,rating-only exploratory subset; main sample unchanged
P031,True,july,True,rating-only exploratory subset; main sample unchanged
P032,True,july,True,rating-only exploratory subset; main sample unchanged
P033,True,july,True,rating-only exploratory subset; main sample unchanged
P034,True,july,True,rating-only exploratory subset; main sample unchanged
P035,True,july,True,rating-only exploratory subset; main sample unchanged
P036,True,july,True,rating-only exploratory subset; main sample unchanged
P037,True,july,True,rating-only exploratory subset; main sample unchanged
P038,True,july,True,rating-only exploratory subset; main sample unchanged
P039,True,july,True,rating-only exploratory subset; main sample unchanged
P040,True,july,True,rating-only exploratory subset; main sample unchanged
P041,True,july,True,rating-only exploratory subset; main sample unchanged
P042,True,july,True,rating-only exploratory subset; main sample unchanged
P043,True,july,True,rating-only exploratory subset; main sample unchanged
P044,True,july,True,rating-only exploratory subset; main sample unchanged
P045,True,july,True,rating-only exploratory subset; main sample unchanged
P046,True,july,True,rating-only exploratory subset; main sample unchanged
P047,True,july,True,rating-only exploratory subset; main sample unchanged
P048,True,july,True,rating-only exploratory subset; main sample unchanged
