participant_code,batch_id,typing_order,control_wpm,control_cpm,control_accuracy,control_attempted_chars,control_first_key_latency_ms,masked_wpm,masked_cpm,masked_accuracy,masked_attempted_chars,masked_first_key_latency_ms,delta_wpm,delta_cpm,delta_accuracy,delta_attempted_chars,delta_first_key_latency_ms
P001,july,BAAB,21.9,109.5,0.9616487455197134,38,775.0500000000466,22.5,112.5,0.9739864864864864,38.5,791.2000000000698,0.6000000000000014,3.0,0.012337740966773092,0.5,16.150000000023283
P002,july,ABBA,18.0,90.0,1.0,30,478.7500000001164,16.8,84.0,1.0,28,547.5,-1.1999999999999993,-6.0,0.0,-2,68.74999999988358
P003,july,BAAB,23.4,117.0,1.0,39,475.29999999981374,20.7,103.5,0.9827586206896552,35,446.89999999990687,-2.6999999999999993,-13.5,-0.01724137931034475,-4,-28.399999999906868
P004,july,ABBA,17.1,85.5,0.890625,31.5,426.85000000009313,22.5,112.5,0.9356499356499356,39.5,619.0500000000466,5.399999999999999,27.0,0.045024935649935593,8.0,192.19999999995343
P005,july,BAAB,13.2,66.0,0.9377289377289377,23.5,351.60000000009313,16.5,82.5,0.964375,28.5,351.24999999976717,3.3000000000000007,16.5,0.026646062271062254,5.0,-0.3500000003259629
P006,july,ABBA,23.700000000000003,118.5,1.0,39.5,374.85000000009313,21.0,105.0,0.9216909216909217,38,327.69999999995343,-2.700000000000003,-13.5,-0.0783090783090783,-1.5,-47.1500000001397
P007,july,BAAB,21.6,108.0,1.0,36,1023.0,18.9,94.5,0.96875,32.5,894.9999999995343,-2.700000000000003,-13.5,-0.03125,-3.5,-128.00000000046566
P008,july,ABBA,15.3,76.5,1.0,25.5,1795.1499999999069,13.8,69.0,0.9782608695652174,23,563.0,-1.5,-7.5,-0.021739130434782594,-2.5,-1232.1499999999069
P009,july,BAAB,20.400000000000002,102.0,1.0,34,303.3000000002794,18.0,90.0,0.9848484848484849,30,335.04999999981374,-2.400000000000002,-12.0,-0.015151515151515138,-4,31.74999999953434
P010,july,ABBA,20.4,102.0,0.94375,36,958.6499999999069,21.6,108.0,0.9861111111111112,36.5,706.8000000002794,1.2000000000000028,6.0,0.04236111111111118,0.5,-251.84999999962747
