participant_code,batch_id,condition,trial_index,condition_repetition,n,requested_n,components,duration_s,accuracy,wpm,cpm,attempted_chars,attempted_letters,correct_chars,correct_letters,total_chars,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,text_storage_status
P001,july,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.972972972972973,21.6,108.0,37,32,36,31,220,1,36,0.02702702702702703,msd_target_prefix_v1,1007.3000000000466,direct_match
P001,july,control,1,1,1,1,none,20.0,0.9555555555555556,25.8,129.0,45,38,43,36,220,2,45,0.044444444444444446,msd_target_prefix_v1,671.8000000000466,direct_match
P001,july,control,2,2,1,1,none,20.0,0.967741935483871,18.0,90.0,31,27,30,26,220,1,31,0.03225806451612903,msd_target_prefix_v1,878.3000000000466,direct_match
P001,july,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.975,23.400000000000002,117.0,40,34,39,33,219,1,40,0.025,msd_target_prefix_v1,575.1000000000931,compatible_with_stripped_boundary_spaces
P002,july,control,0,1,1,1,none,20.0,1.0,17.400000000000002,87.0,29,25,29,25,220,0,29,0.0,msd_target_prefix_v1,567.4000000001397,compatible_with_stripped_boundary_spaces
P002,july,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,16.8,84.0,28,24,28,24,219,0,28,0.0,msd_target_prefix_v1,567.1999999999534,compatible_with_stripped_boundary_spaces
P002,july,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,16.8,84.0,28,24,28,24,220,0,28,0.0,msd_target_prefix_v1,527.8000000000466,direct_match
P002,july,control,3,2,1,1,none,20.0,1.0,18.6,93.0,31,26,31,26,220,0,31,0.0,msd_target_prefix_v1,390.10000000009313,compatible_with_stripped_boundary_spaces
P003,july,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9655172413793104,16.8,84.0,29,25,28,24,220,1,29,0.034482758620689655,msd_target_prefix_v1,494.89999999990687,direct_match
P003,july,control,1,1,1,1,none,20.0,1.0,24.0,120.0,40,35,40,35,220,0,40,0.0,msd_target_prefix_v1,462.89999999990687,direct_match
P003,july,control,2,2,1,1,none,20.0,1.0,22.8,114.0,38,32,38,32,220,0,38,0.0,msd_target_prefix_v1,487.6999999997206,compatible_with_stripped_boundary_spaces
P003,july,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,24.599999999999998,123.0,41,35,41,35,220,0,41,0.0,msd_target_prefix_v1,398.89999999990687,direct_match
P004,july,control,0,1,1,1,none,20.0,0.875,16.8,84.0,32,27,28,24,220,4,32,0.125,msd_target_prefix_v1,295.10000000009313,compatible_with_stripped_boundary_spaces
P004,july,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9189189189189189,21.0,105.0,37,32,35,30,220,3,37,0.08108108108108109,msd_target_prefix_v1,719.6000000000931,direct_match
P004,july,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9523809523809523,24.0,120.0,42,37,40,35,220,2,41,0.047619047619047616,msd_target_prefix_v1,518.5,direct_match
P004,july,control,3,2,1,1,none,20.0,0.90625,17.400000000000002,87.0,31,26,29,24,219,3,32,0.09375,msd_target_prefix_v1,558.6000000000931,direct_match
P005,july,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.96875,18.6,93.0,32,28,31,27,220,1,32,0.03125,msd_target_prefix_v1,295.1999999997206,direct_match
P005,july,control,1,1,1,1,none,20.0,0.9230769230769231,14.4,72.0,26,22,24,21,220,2,25,0.07692307692307693,msd_target_prefix_v1,439.10000000009313,compatible_with_stripped_boundary_spaces
P005,july,control,2,2,1,1,none,20.0,0.9523809523809523,12.0,60.0,21,17,20,17,220,1,21,0.047619047619047616,msd_target_prefix_v1,264.10000000009313,compatible_with_stripped_boundary_spaces
P005,july,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.96,14.4,72.0,25,21,24,20,220,1,25,0.04,msd_target_prefix_v1,407.29999999981374,compatible_with_stripped_boundary_spaces
P006,july,control,0,1,1,1,none,20.0,1.0,23.400000000000002,117.0,39,34,39,34,220,0,39,0.0,msd_target_prefix_v1,407.20000000018626,direct_match
P006,july,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9459459459459459,21.0,105.0,37,31,35,29,220,2,37,0.05405405405405406,msd_target_prefix_v1,327.60000000009313,direct_match
P006,july,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.8974358974358975,21.0,105.0,39,32,35,28,220,4,38,0.10256410256410256,msd_target_prefix_v1,327.79999999981374,compatible_with_stripped_boundary_spaces
P006,july,control,3,2,1,1,none,20.0,1.0,24.0,120.0,40,34,40,34,220,0,40,0.0,msd_target_prefix_v1,342.5,direct_match
P007,july,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9375,18.0,90.0,32,28,30,26,220,2,32,0.0625,msd_target_prefix_v1,1358.2999999998137,direct_match
P007,july,control,1,1,1,1,none,20.0,1.0,19.200000000000003,96.0,32,28,32,28,220,0,32,0.0,msd_target_prefix_v1,1743.0,direct_match
