scope,field,n,missing
formal,name,112,112
formal,student_id,112,112
formal,major,112,112
formal,age,112,112
formal,gender,112,112
formal,glasses,112,0
formal,consented_at,112,0
formal,started_at,112,0
formal,submitted_at,112,0
formal,environment_confirmed,112,0
included,name,106,106
included,student_id,106,106
included,major,106,106
included,age,106,106
included,gender,106,106
included,glasses,106,0
included,consented_at,106,0
included,started_at,106,0
included,submitted_at,106,0
included,environment_confirmed,106,0
