participant_id,participant_code,included,date_utc,batch_id,typing_order,rating_order_index,browser_version,color_depth,screen_width,screen_height,device_pixel_ratio,fullscreen_at_submission,environment_confirmed,refresh_hz,session_duration_min,boundary_space_compatible_trials
6,P001,True,2026-07-08,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380978779,18.228483333333333,1
7,P002,True,2026-07-08,july,ABBA,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.063233333333333,3
8,P003,True,2026-07-08,july,BAAB,3,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,5.439116666666666,1
9,P004,True,2026-07-08,july,ABBA,4,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.427716666666667,1
10,P005,True,2026-07-08,july,BAAB,4,147.0.0.0,30,1920,1080,1,True,1,238.0952380978779,9.588133333333333,3
11,P006,True,2026-07-08,july,ABBA,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380978779,20.004216666666665,1
12,P007,True,2026-07-08,july,BAAB,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.867116666666666,1
13,P008,True,2026-07-08,july,ABBA,0,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,7.0957,1
14,P009,True,2026-07-08,july,BAAB,0,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,9.125599999999999,1
15,P010,True,2026-07-08,july,ABBA,1,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.694966666666667,1
16,P011,True,2026-07-08,july,BAAB,1,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.66115,2
17,P012,True,2026-07-08,july,ABBA,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,4.987616666666667,3
18,P013,True,2026-07-08,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,5.7532499999999995,0
19,P014,True,2026-07-08,july,ABBA,3,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.761383333333333,2
20,P015,True,2026-07-08,july,BAAB,3,147.0.0.0,30,1920,1080,1,True,1,238.09523808467887,111.41435,1
21,P016,True,2026-07-08,july,ABBA,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,5.012266666666666,0
22,P017,True,2026-07-08,july,BAAB,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,5.383616666666667,0
23,P018,True,2026-07-08,july,ABBA,5,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,4.8998333333333335,1
24,P019,True,2026-07-08,july,BAAB,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,4.85245,0
25,,False,2026-07-08,july,ABBA,0,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.3437,1
26,P020,True,2026-07-08,july,BAAB,0,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,5.0302999999999995,2
27,P021,True,2026-07-08,july,ABBA,1,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,5.628566666666667,0
28,P022,True,2026-07-08,july,BAAB,1,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,4.836633333333333,1
29,P023,True,2026-07-08,july,ABBA,2,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,4.974683333333333,1
30,P024,True,2026-07-08,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,4.767516666666666,2
31,P025,True,2026-07-08,july,ABBA,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.488083333333334,0
32,P026,True,2026-07-08,july,BAAB,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,4.855666666666666,1
33,,False,2026-07-08,july,ABBA,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.894816666666667,1
34,P027,True,2026-07-08,july,BAAB,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,5.087266666666666,1
35,P028,True,2026-07-08,july,ABBA,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.125299999999999,2
36,P029,True,2026-07-08,july,BAAB,5,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,5.392083333333333,0
37,P030,True,2026-07-08,july,ABBA,0,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,6.348733333333333,0
38,,False,2026-07-08,july,BAAB,0,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.417216666666667,2
39,P031,True,2026-07-08,july,ABBA,1,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.133916666666667,2
40,,False,2026-07-08,july,BAAB,1,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.288316666666666,1
41,P032,True,2026-07-13,july,ABBA,2,147.0.0.0,30,1920,1080,1,True,1,238.09523809457815,12.474116666666667,0
42,P033,True,2026-07-13,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.00245,2
43,P034,True,2026-07-13,july,ABBA,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.624316666666667,1
44,P035,True,2026-07-13,july,BAAB,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.9109,1
45,P036,True,2026-07-13,july,ABBA,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,16.240866666666665,1
46,P037,True,2026-07-13,july,BAAB,4,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.786133333333334,1
47,P038,True,2026-07-13,july,ABBA,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.631766666666667,0
48,,False,2026-07-13,july,BAAB,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.764366666666667,0
49,P039,True,2026-07-13,july,ABBA,0,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.283133333333334,0
50,P040,True,2026-07-13,july,BAAB,0,147.0.0.0,30,1920,1080,1,True,1,238.09523813747495,130.16778333333335,0
51,P041,True,2026-07-13,july,ABBA,1,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.5459000000000005,1
52,P042,True,2026-07-13,july,BAAB,1,147.0.0.0,30,1920,1080,1,True,1,238.09523809519686,4.490866666666666,1
53,P043,True,2026-07-13,july,ABBA,2,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.534283333333334,0
54,P044,True,2026-07-13,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,4.434516666666667,1
55,P045,True,2026-07-13,july,ABBA,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,4.624633333333334,0
56,P046,True,2026-07-13,july,BAAB,3,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.0984,3
57,P047,True,2026-07-13,july,ABBA,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809529998,4.6762,2
58,P048,True,2026-07-13,july,BAAB,4,147.0.0.0,30,1920,1080,1,True,1,238.09523809622803,7.96495,2
59,P049,True,2026-07-13,july,ABBA,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.1349,2
60,P050,True,2026-07-13,july,BAAB,5,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,5.765116666666667,0
61,P051,True,2026-07-13,july,ABBA,0,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.70315,0
62,P052,True,2026-07-13,july,BAAB,0,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.407616666666667,0
63,P053,True,2026-07-13,july,ABBA,1,147.0.0.0,30,1920,1080,1,True,1,238.09523809622803,8.840783333333333,0
64,P054,True,2026-07-13,july,BAAB,1,147.0.0.0,30,1920,1080,1,True,1,238.09523809622803,9.2064,2
65,P055,True,2026-07-13,july,ABBA,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.55705,0
66,P056,True,2026-07-13,july,BAAB,2,147.0.0.0,30,1920,1080,1,True,1,238.0952380954031,6.910516666666666,0
67,P057,True,2026-09-08,sep08,ABBA,3,147.0.0.0,32,1920,1080,1,True,1,238.0952380978779,33.70793333333334,0
68,P058,True,2026-09-08,sep08,BAAB,3,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.184233333333333,2
69,P059,True,2026-09-08,sep08,ABBA,4,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.109116666666667,2
70,,False,2026-09-08,sep08,BAAB,4,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.134883333333334,0
71,P060,True,2026-09-08,sep08,ABBA,5,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,4.890233333333333,1
72,P061,True,2026-09-08,sep08,BAAB,5,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,4.998616666666666,2
73,P062,True,2026-09-08,sep08,ABBA,0,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.729066666666667,1
74,P063,True,2026-09-08,sep08,BAAB,0,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.08695,0
75,P064,True,2026-09-08,sep08,ABBA,1,147.0.0.0,32,1920,1080,1,True,1,238.09523809529998,4.784533333333333,2
76,P065,True,2026-09-08,sep08,BAAB,1,147.0.0.0,32,1920,1080,1,True,1,238.0952380954031,5.995983333333333,2
77,P066,True,2026-09-10,sep10_12,ABBA,2,129.0.0.0,24,1920,1080,1,True,1,238.0952380978779,29.337899999999998,1
78,P067,True,2026-09-10,sep10_12,BAAB,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.229183333333333,0
79,P068,True,2026-09-10,sep10_12,ABBA,3,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,4.860433333333333,0
80,P069,True,2026-09-10,sep10_12,BAAB,3,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,5.020716666666667,2
81,P070,True,2026-09-10,sep10_12,ABBA,4,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,4.459683333333333,0
82,P071,True,2026-09-10,sep10_12,BAAB,4,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,4.957933333333333,2
83,P072,True,2026-09-10,sep10_12,ABBA,5,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,5.3193,3
84,P073,True,2026-09-10,sep10_12,BAAB,5,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,4.746849999999999,0
85,P074,True,2026-09-10,sep10_12,ABBA,0,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,6.105316666666667,1
86,P075,True,2026-09-10,sep10_12,BAAB,0,129.0.0.0,24,1920,1080,1,True,1,238.0952380978779,10.140933333333333,0
87,P076,True,2026-09-10,sep10_12,ABBA,1,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,5.0959,0
88,P077,True,2026-09-10,sep10_12,BAAB,1,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.192316666666667,1
