metric,participant_code,status,control,masked,delta_masked_minus_control
accuracy,P020,highest_5,91.50268336314849,97.98975167520693,6.48706831205844
accuracy,P024,lowest_5,98.33333333333334,84.05172413793103,-14.28160919540231
accuracy,P025,lowest_5,100.0,87.5,-12.5
accuracy,P026,lowest_5,98.78048780487805,84.13461538461537,-14.645872420262677
accuracy,P031,highest_5,73.67172675521822,89.72153972153973,16.04981296632151
accuracy,P033,lowest_5,98.71794871794873,78.78378378378379,-19.93416493416494
accuracy,P034,highest_5,80.5944055944056,86.875,6.2805944055944
accuracy,P050,lowest_5,89.0625,77.08333333333333,-11.979166666666671
accuracy,P055,highest_5,84.90073145245559,98.14814814814815,13.247416695692564
accuracy,P068,highest_5,85.42875564152159,95.36842105263158,9.939665411109985
wpm,P004,highest_5,17.1,22.5,5.399999999999999
wpm,P014,highest_5,42.6,47.1,4.5
wpm,P016,lowest_5,21.0,14.399999999999999,-6.600000000000001
wpm,P020,highest_5,26.4,30.000000000000004,3.600000000000005
wpm,P026,lowest_5,24.299999999999997,16.5,-7.799999999999997
wpm,P033,lowest_5,23.7,15.9,-7.799999999999999
wpm,P041,highest_5,14.4,18.6,4.200000000000001
wpm,P061,lowest_5,23.700000000000003,17.1,-6.600000000000001
wpm,P079,lowest_5,36.300000000000004,29.1,-7.200000000000003
wpm,P089,highest_5,28.8,32.7,3.900000000000002
first_key_latency_ms,P008,lowest_5,1795.1499999999069,563.0,-1232.1499999999069
first_key_latency_ms,P016,highest_5,499.29999999981374,1655.5999999996275,1156.2999999998137
first_key_latency_ms,P018,lowest_5,2190.7000000001863,799.3500000005588,-1391.3499999996275
first_key_latency_ms,P022,highest_5,178.40000000037253,1255.25,1076.8499999996275
first_key_latency_ms,P028,highest_5,1003.5,2027.2000000011176,1023.7000000011176
first_key_latency_ms,P049,highest_5,387.19999999925494,1607.0999999996275,1219.9000000003725
first_key_latency_ms,P063,highest_5,439.45000000018626,2298.5,1859.0499999998137
first_key_latency_ms,P078,lowest_5,1234.9500000001863,310.2500000009313,-924.6999999992549
first_key_latency_ms,P080,lowest_5,1174.3499999996275,429.90000000037253,-744.4499999992549
first_key_latency_ms,P099,lowest_5,637.3000000000466,116.3499999998603,-520.9500000001863
