metric,participant_code,status,control,masked,delta_masked_minus_control
wpm,P001,retained,21.9,22.5,0.6000000000000014
wpm,P002,retained,18.0,16.8,-1.1999999999999993
wpm,P003,retained,23.4,20.7,-2.6999999999999993
wpm,P005,retained,13.2,16.5,3.3000000000000007
wpm,P006,retained,23.700000000000003,21.0,-2.700000000000003
wpm,P007,retained,21.6,18.9,-2.700000000000003
wpm,P008,retained,15.3,13.8,-1.5
wpm,P009,retained,20.400000000000002,18.0,-2.400000000000002
wpm,P010,retained,20.4,21.6,1.2000000000000028
wpm,P011,retained,18.300000000000004,17.1,-1.2000000000000028
wpm,P012,retained,26.7,25.2,-1.5
wpm,P013,retained,20.400000000000002,18.6,-1.8000000000000007
wpm,P015,retained,14.399999999999999,12.900000000000002,-1.4999999999999964
wpm,P017,retained,24.299999999999997,20.400000000000002,-3.899999999999995
wpm,P018,retained,14.4,14.7,0.29999999999999893
wpm,P019,retained,17.700000000000003,15.600000000000001,-2.1000000000000014
wpm,P021,retained,15.3,14.400000000000002,-0.8999999999999986
wpm,P022,retained,23.400000000000002,23.400000000000002,0.0
wpm,P023,retained,17.1,16.200000000000003,-0.8999999999999986
wpm,P024,retained,14.400000000000002,14.400000000000002,0.0
wpm,P025,retained,18.300000000000004,12.9,-5.400000000000004
wpm,P027,retained,24.9,19.200000000000003,-5.699999999999996
wpm,P028,retained,19.8,17.400000000000002,-2.3999999999999986
wpm,P029,retained,18.0,15.900000000000002,-2.099999999999998
wpm,P030,retained,16.8,18.300000000000004,1.5000000000000036
wpm,P031,retained,19.800000000000004,19.200000000000003,-0.6000000000000014
wpm,P032,retained,21.0,22.200000000000003,1.2000000000000028
wpm,P034,retained,14.4,16.8,2.4000000000000004
wpm,P035,retained,11.700000000000001,14.400000000000002,2.700000000000001
wpm,P036,retained,20.1,16.8,-3.3000000000000007
wpm,P037,retained,16.5,15.600000000000001,-0.8999999999999986
wpm,P038,retained,21.0,22.200000000000003,1.2000000000000028
wpm,P039,retained,20.400000000000002,18.0,-2.400000000000002
wpm,P040,retained,35.7,31.200000000000003,-4.5
wpm,P042,retained,22.200000000000003,21.0,-1.2000000000000028
wpm,P043,retained,18.6,18.0,-0.6000000000000014
wpm,P044,retained,22.5,19.8,-2.6999999999999993
wpm,P045,retained,30.9,24.6,-6.299999999999997
wpm,P046,retained,12.899999999999999,12.600000000000001,-0.29999999999999716
wpm,P047,retained,23.400000000000002,25.799999999999997,2.399999999999995
wpm,P048,retained,31.5,29.1,-2.3999999999999986
wpm,P049,retained,22.799999999999997,19.800000000000004,-2.999999999999993
wpm,P050,retained,13.8,11.100000000000001,-2.6999999999999993
wpm,P051,retained,21.9,19.200000000000003,-2.6999999999999957
wpm,P052,retained,18.300000000000004,17.1,-1.2000000000000028
wpm,P053,retained,15.0,13.5,-1.5
wpm,P054,retained,23.1,23.4,0.29999999999999716
wpm,P055,retained,15.900000000000002,16.5,0.5999999999999979
wpm,P056,retained,19.5,21.300000000000004,1.8000000000000043
wpm,P057,retained,23.4,21.6,-1.7999999999999972
wpm,P058,retained,16.5,18.0,1.5
wpm,P059,retained,23.400000000000002,24.9,1.4999999999999964
wpm,P060,retained,21.6,20.4,-1.2000000000000028
wpm,P062,retained,21.0,20.1,-0.8999999999999986
wpm,P063,retained,19.200000000000003,21.0,1.7999999999999972
wpm,P064,retained,20.700000000000003,22.200000000000003,1.5
wpm,P065,retained,20.400000000000002,16.8,-3.6000000000000014
wpm,P066,retained,26.700000000000003,23.1,-3.6000000000000014
wpm,P067,retained,39.0,32.7,-6.299999999999997
wpm,P068,retained,20.700000000000003,18.0,-2.700000000000003
wpm,P069,retained,24.6,25.5,0.8999999999999986
wpm,P070,retained,21.0,19.8,-1.1999999999999993
wpm,P071,retained,23.4,19.8,-3.599999999999998
wpm,P072,retained,19.800000000000004,21.0,1.1999999999999957
