metric,participant_code,status,control,masked,delta_masked_minus_control
accuracy,P024,lowest_3,98.33333333333334,84.05172413793103,-14.28160919540231
accuracy,P026,lowest_3,98.78048780487805,84.13461538461537,-14.645872420262677
accuracy,P031,highest_3,73.67172675521822,89.72153972153973,16.04981296632151
accuracy,P033,lowest_3,98.71794871794873,78.78378378378379,-19.93416493416494
accuracy,P055,highest_3,84.90073145245559,98.14814814814815,13.247416695692564
accuracy,P068,highest_3,85.42875564152159,95.36842105263158,9.939665411109985
wpm,P004,highest_3,17.1,22.5,5.399999999999999
wpm,P014,highest_3,42.6,47.1,4.5
wpm,P026,lowest_3,24.299999999999997,16.5,-7.799999999999997
wpm,P033,lowest_3,23.7,15.9,-7.799999999999999
wpm,P041,highest_3,14.4,18.6,4.200000000000001
wpm,P079,lowest_3,36.300000000000004,29.1,-7.200000000000003
first_key_latency_ms,P008,lowest_3,1795.1499999999069,563.0,-1232.1499999999069
first_key_latency_ms,P016,highest_3,499.29999999981374,1655.5999999996275,1156.2999999998137
first_key_latency_ms,P018,lowest_3,2190.7000000001863,799.3500000005588,-1391.3499999996275
first_key_latency_ms,P049,highest_3,387.19999999925494,1607.0999999996275,1219.9000000003725
first_key_latency_ms,P063,highest_3,439.45000000018626,2298.5,1859.0499999998137
first_key_latency_ms,P078,lowest_3,1234.9500000001863,310.2500000009313,-924.6999999992549
