metric,participant_code,status,control,masked,delta_masked_minus_control
accuracy,P001,retained,96.16487455197134,97.39864864864865,1.2337740966773083
accuracy,P002,retained,100.0,100.0,0.0
accuracy,P003,retained,100.0,98.27586206896552,-1.7241379310344769
accuracy,P004,retained,89.0625,93.56499356499356,4.502493564993557
accuracy,P005,retained,93.77289377289377,96.4375,2.6646062271062334
accuracy,P006,retained,100.0,92.16909216909217,-7.830907830907833
accuracy,P007,retained,100.0,96.875,-3.125
accuracy,P008,retained,100.0,97.82608695652173,-2.173913043478265
accuracy,P009,retained,100.0,98.48484848484848,-1.5151515151515156
accuracy,P010,retained,94.375,98.61111111111111,4.236111111111114
accuracy,P011,retained,100.0,89.70588235294117,-10.294117647058826
accuracy,P012,retained,98.9795918367347,96.58730158730158,-2.392290249433117
accuracy,P013,retained,100.0,96.66666666666667,-3.3333333333333286
accuracy,P014,retained,98.63013698630137,98.73084291187739,0.10070592557602254
accuracy,P015,retained,97.91666666666667,87.5,-10.416666666666671
accuracy,P016,retained,98.71794871794873,97.91666666666667,-0.8012820512820582
accuracy,P017,retained,100.0,98.4375,-1.5625
accuracy,P018,retained,100.0,96.06481481481481,-3.9351851851851904
accuracy,P019,retained,95.16129032258065,86.8421052631579,-8.31918505942275
accuracy,P020,retained,91.50268336314849,97.98975167520693,6.48706831205844
accuracy,P021,retained,92.90450928381964,95.97423510466989,3.069725820850252
accuracy,P022,retained,91.62971175166297,97.36842105263158,5.738709300968608
accuracy,P023,retained,89.0625,94.70443349753694,5.6419334975369395
accuracy,P024,lowest_3,98.33333333333334,84.05172413793103,-14.28160919540231
accuracy,P025,retained,100.0,87.5,-12.5
accuracy,P026,lowest_3,98.78048780487805,84.13461538461537,-14.645872420262677
accuracy,P027,retained,97.64412416851441,90.9090909090909,-6.735033259423503
accuracy,P028,retained,100.0,98.14814814814815,-1.8518518518518476
accuracy,P029,retained,100.0,91.9631093544137,-8.036890645586297
accuracy,P030,retained,96.42857142857143,95.25904203323559,-1.169529395335843
accuracy,P031,highest_3,73.67172675521822,89.72153972153973,16.04981296632151
accuracy,P032,retained,98.4375,98.6842105263158,0.2467105263157947
accuracy,P033,lowest_3,98.71794871794873,78.78378378378379,-19.93416493416494
accuracy,P034,retained,80.5944055944056,86.875,6.2805944055944
accuracy,P035,retained,94.0,88.88888888888889,-5.111111111111114
accuracy,P036,retained,100.0,96.96969696969697,-3.030303030303031
accuracy,P037,retained,100.0,98.07692307692308,-1.9230769230769198
accuracy,P038,retained,100.0,100.0,0.0
accuracy,P039,retained,91.17647058823529,89.72222222222223,-1.4542483660130614
accuracy,P040,retained,99.15254237288136,99.10714285714286,-0.04539951573849521
accuracy,P041,retained,100.0,100.0,0.0
accuracy,P042,retained,100.0,97.22007722007721,-2.779922779922785
accuracy,P043,retained,98.33333333333334,98.38709677419355,0.05376344086020879
accuracy,P044,retained,100.0,100.0,0.0
accuracy,P045,retained,99.05660377358491,97.5609756097561,-1.4956281638288118
accuracy,P046,retained,100.0,92.0,-8.0
accuracy,P047,retained,98.88888888888889,98.78048780487805,-0.10840108401083626
accuracy,P048,retained,95.09869521579124,98.0,2.9013047842087616
accuracy,P049,retained,98.61111111111111,94.28571428571428,-4.325396825396837
accuracy,P050,retained,89.0625,77.08333333333333,-11.979166666666671
accuracy,P051,retained,98.61111111111111,98.33333333333334,-0.27777777777777146
accuracy,P052,retained,100.0,100.0,0.0
accuracy,P053,retained,94.64285714285714,97.61904761904762,2.9761904761904816
accuracy,P054,retained,100.0,100.0,0.0
accuracy,P055,highest_3,84.90073145245559,98.14814814814815,13.247416695692564
accuracy,P056,retained,94.1722972972973,100.0,5.827702702702695
accuracy,P057,retained,100.0,100.0,0.0
accuracy,P058,retained,100.0,100.0,0.0
accuracy,P059,retained,97.46031746031746,96.66666666666667,-0.7936507936507837
accuracy,P060,retained,98.4375,97.140522875817,-1.2969771241830017
accuracy,P061,retained,100.0,96.60138248847927,-3.398617511520726
accuracy,P062,retained,100.0,93.90243902439023,-6.097560975609767
accuracy,P063,retained,94.19913419913419,96.875,2.6758658008658074
accuracy,P064,retained,98.52941176470588,100.0,1.470588235294116
accuracy,P065,retained,100.0,96.5352449223417,-3.464755077658296
accuracy,P066,retained,97.72727272727273,95.94594594594594,-1.781326781326797
accuracy,P067,retained,98.48484848484848,100.0,1.5151515151515156
accuracy,P068,highest_3,85.42875564152159,95.36842105263158,9.939665411109985
accuracy,P069,retained,98.88888888888889,96.2972972972973,-2.5915915915915804
accuracy,P070,retained,100.0,98.52941176470588,-1.470588235294116
accuracy,P071,retained,98.6842105263158,97.0357454228422,-1.6484651034735975
accuracy,P072,retained,98.57142857142858,98.38709677419355,-0.184331797235032
accuracy,P073,retained,96.18055555555556,99.25373134328358,3.073175787728019
accuracy,P074,retained,100.0,98.91304347826086,-1.0869565217391397
accuracy,P075,retained,97.14285714285714,98.14814814814815,1.0052910052910136
accuracy,P076,retained,100.0,93.73219373219372,-6.267806267806279
accuracy,P077,retained,99.29577464788733,96.61016949152543,-2.685605156361902
accuracy,P078,retained,96.84729064039409,97.43589743589743,0.5886067955033383
accuracy,P079,retained,100.0,95.95028067361669,-4.049719326383311
accuracy,P080,retained,100.0,98.21428571428572,-1.7857142857142776
accuracy,P081,retained,98.78048780487805,100.0,1.2195121951219505
accuracy,P082,retained,100.0,96.96969696969697,-3.030303030303031
accuracy,P083,retained,97.36842105263158,87.76061776061776,-9.607803292013813
accuracy,P084,retained,98.48484848484848,95.65217391304348,-2.8326745718050006
accuracy,P085,retained,98.11320754716981,94.63356973995272,-3.479637807217088
accuracy,P086,retained,100.0,100.0,0.0
accuracy,P087,retained,95.83333333333333,98.71794871794873,2.884615384615401
accuracy,P088,retained,100.0,100.0,0.0
accuracy,P089,retained,100.0,96.33647798742138,-3.6635220125786248
accuracy,P090,retained,100.0,95.44592030360532,-4.55407969639468
accuracy,P091,retained,95.16089412920658,99.12280701754386,3.961912888337281
accuracy,P092,retained,95.33045977011494,95.26198439241918,-0.06847537769576206
accuracy,P093,retained,100.0,96.84729064039409,-3.1527093596059075
accuracy,P094,retained,94.64285714285714,98.78048780487805,4.137630662020911
accuracy,P095,retained,100.0,95.75396825396825,-4.246031746031747
accuracy,P096,retained,100.0,97.82608695652173,-2.173913043478265
accuracy,P097,retained,100.0,98.64864864864865,-1.3513513513513544
accuracy,P098,retained,98.52941176470588,95.0,-3.529411764705884
accuracy,P099,retained,95.91666666666667,97.41830065359477,1.5016339869280984
accuracy,P100,retained,93.18181818181819,98.75,5.568181818181813
accuracy,P101,retained,98.57142857142858,100.0,1.4285714285714164
accuracy,P102,retained,98.65717375630858,99.28571428571429,0.6285405294057114
accuracy,P103,retained,98.48484848484848,100.0,1.5151515151515156
accuracy,P104,retained,97.37891737891738,99.01960784313727,1.6406904642198867
accuracy,P105,retained,100.0,91.66666666666667,-8.333333333333329
accuracy,P106,retained,93.50446428571428,96.90058479532165,3.396120509607371
wpm,P001,retained,21.9,22.5,0.6000000000000014
wpm,P002,retained,18.0,16.8,-1.1999999999999993
wpm,P003,retained,23.4,20.7,-2.6999999999999993
wpm,P004,highest_3,17.1,22.5,5.399999999999999
wpm,P005,retained,13.2,16.5,3.3000000000000007
wpm,P006,retained,23.700000000000003,21.0,-2.700000000000003
wpm,P007,retained,21.6,18.9,-2.700000000000003
wpm,P008,retained,15.3,13.8,-1.5
wpm,P009,retained,20.400000000000002,18.0,-2.400000000000002
wpm,P010,retained,20.4,21.6,1.2000000000000028
wpm,P011,retained,18.300000000000004,17.1,-1.2000000000000028
wpm,P012,retained,26.7,25.2,-1.5
wpm,P013,retained,20.400000000000002,18.6,-1.8000000000000007
wpm,P014,highest_3,42.6,47.1,4.5
wpm,P015,retained,14.399999999999999,12.900000000000002,-1.4999999999999964
wpm,P016,retained,21.0,14.399999999999999,-6.600000000000001
wpm,P017,retained,24.299999999999997,20.400000000000002,-3.899999999999995
wpm,P018,retained,14.4,14.7,0.29999999999999893
wpm,P019,retained,17.700000000000003,15.600000000000001,-2.1000000000000014
wpm,P020,retained,26.4,30.000000000000004,3.600000000000005
