participant_code,participant_id,registration_index,control_wpm,control_cpm,control_accuracy,control_attempted_chars,control_first_key_latency_ms,masked_wpm,masked_cpm,masked_accuracy,masked_attempted_chars,masked_first_key_latency_ms
P001,1,0,30.6,153.0,1.0,51.0,1083.5499999970198,30.9,154.5,1.0,51.5,790.6499999910593
P002,2,1,36.300000000000004,181.5,1.0,60.5,1684.0000000000582,33.60000000000001,168.0,1.0,56.0,2187.9500000000116
P003,3,2,30.9,154.5,1.0,51.5,322.75,37.800000000000004,189.0,0.95625,63.5,337.34999999403954
P004,4,3,38.400000000000006,192.0,0.9923076923076923,64.5,771.4000000003725,37.5,187.5,0.9927536231884058,63.0,811.25
P005,5,4,39.900000000000006,199.5,1.0,66.5,450.79999999981374,37.5,187.5,0.962962962962963,64.0,519.6499999994412
P006,6,5,21.9,109.5,0.9616487455197134,38.0,775.0500000000466,22.5,112.5,0.9739864864864864,38.5,791.2000000000698
P007,7,6,18.0,90.0,1.0,30.0,478.7500000001164,16.8,84.0,1.0,28.0,547.5
P008,8,7,23.4,117.0,1.0,39.0,475.29999999981374,20.7,103.5,0.9827586206896552,35.0,446.89999999990687
P009,9,8,17.1,85.5,0.890625,31.5,426.85000000009313,22.5,112.5,0.9356499356499356,39.5,619.0500000000466
P010,10,9,13.2,66.0,0.9377289377289377,23.5,351.60000000009313,16.5,82.5,0.964375,28.5,351.24999999976717
P011,11,10,23.700000000000003,118.5,1.0,39.5,374.85000000009313,21.0,105.0,0.9216909216909217,38.0,327.69999999995343
P012,12,11,21.6,108.0,1.0,36.0,1023.0,18.9,94.5,0.96875,32.5,894.9999999995343
P013,13,12,15.3,76.5,1.0,25.5,1795.1499999999069,13.8,69.0,0.9782608695652174,23.0,563.0
P014,14,13,20.400000000000002,102.0,1.0,34.0,303.3000000002794,18.0,90.0,0.9848484848484849,30.0,335.04999999981374
P015,15,14,20.4,102.0,0.94375,36.0,958.6499999999069,21.6,108.0,0.9861111111111112,36.5,706.8000000002794
P016,16,15,18.300000000000004,91.5,1.0,30.5,547.0500000002794,17.1,85.5,0.8970588235294118,32.0,502.85000000009313
P017,17,16,26.7,133.5,0.9897959183673469,45.0,479.1999999997206,25.2,126.0,0.9658730158730159,43.5,383.15000000037253
P018,18,17,20.400000000000002,102.0,1.0,34.0,475.1499999994412,18.6,93.0,0.9666666666666667,32.0,303.39999999990687
P019,19,18,42.6,213.0,0.9863013698630136,71.5,355.35000000009313,47.1,235.5,0.9873084291187739,79.5,275.00000000046566
P020,20,19,14.399999999999999,72.0,0.9791666666666667,24.0,635.7499999990687,12.900000000000002,64.5,0.875,24.0,539.3499999996275
P021,21,20,21.0,105.0,0.9871794871794872,35.0,499.29999999981374,14.399999999999999,72.0,0.9791666666666667,24.5,1655.5999999996275
P022,22,21,24.299999999999997,121.5,1.0,40.5,343.20000000018626,20.400000000000002,102.0,0.984375,34.0,403.15000000037253
P023,23,22,14.4,72.0,1.0,24.0,2190.7000000001863,14.7,73.5,0.9606481481481481,25.5,799.3500000005588
P024,24,23,17.700000000000003,88.5,0.9516129032258065,31.0,859.5499999998137,15.600000000000001,78.0,0.868421052631579,28.5,1151.3500000005588
P025,26,25,26.4,132.0,0.9150268336314848,47.5,331.45000000018626,30.000000000000004,150.0,0.9798975167520694,51.0,719.2000000011176
P026,27,26,15.3,76.5,0.9290450928381964,27.5,718.9000000003725,14.400000000000002,72.0,0.9597423510466989,25.0,1359.75
P027,28,27,23.400000000000002,117.0,0.9162971175166297,42.5,178.40000000037253,23.400000000000002,117.0,0.9736842105263158,39.5,1255.25
P028,29,28,17.1,85.5,0.890625,32.0,543.5,16.200000000000003,81.0,0.9470443349753694,28.5,443.0
P029,30,29,14.400000000000002,72.0,0.9833333333333334,24.5,1439.5999999996275,14.400000000000002,72.0,0.8405172413793103,25.5,1114.5499999988824
P030,31,30,18.300000000000004,91.5,1.0,30.5,1535.4500000011176,12.9,64.5,0.875,24.5,1179.2999999988824
P031,32,31,24.299999999999997,121.5,0.9878048780487805,41.0,851.0500000007451,16.5,82.5,0.8413461538461537,31.5,1651.25
P032,34,33,24.9,124.5,0.9764412416851441,42.5,691.0,19.200000000000003,96.0,0.9090909090909091,35.0,1191.4500000011176
P033,35,34,19.8,99.0,1.0,33.0,1003.5,17.400000000000002,87.0,0.9814814814814815,29.5,2027.2000000011176
P034,36,35,18.0,90.0,1.0,30.0,1642.5499999988824,15.900000000000002,79.5,0.919631093544137,27.5,1175.5
P035,37,36,16.8,84.0,0.9642857142857143,28.5,639.25,18.300000000000004,91.5,0.9525904203323559,32.0,927.2999999970198
P036,39,38,19.800000000000004,99.0,0.7367172675521821,48.0,547.2000000011176,19.200000000000003,96.0,0.8972153972153972,35.0,427.0499999988824
P037,41,40,21.0,105.0,0.984375,35.5,431.1000000000349,22.200000000000003,111.0,0.986842105263158,37.5,483.20000000001164
P038,42,41,23.7,118.5,0.9871794871794872,40.0,794.6500000000233,15.9,79.5,0.7878378378378379,33.5,419.3499999999767
P039,43,42,14.4,72.0,0.8059440559440559,29.5,559.3000000000466,16.8,84.0,0.86875,31.0,467.4000000000233
P040,44,43,11.700000000000001,58.5,0.94,21.0,862.9500000000698,14.400000000000002,72.0,0.8888888888888888,24.0,530.9999999998836
P041,45,44,20.1,100.5,1.0,33.5,386.94999999995343,16.8,84.0,0.9696969696969697,29.0,1091.3999999999069
P042,46,45,16.5,82.5,1.0,27.5,714.8999999999069,15.600000000000001,78.0,0.9807692307692308,26.5,534.5999999998603
P043,47,46,21.0,105.0,1.0,35.0,919.0,22.200000000000003,111.0,1.0,37.0,1111.0
P044,49,48,20.400000000000002,102.0,0.9117647058823529,36.5,715.25,18.0,90.0,0.8972222222222223,33.0,963.3000000002794
P045,50,49,35.7,178.5,0.9915254237288136,59.5,383.04999999981374,31.200000000000003,156.0,0.9910714285714286,52.5,550.9999999990687
P046,51,50,14.4,72.0,1.0,24.0,563.0999999996275,18.6,93.0,1.0,31.0,595.1500000003725
P047,52,51,22.200000000000003,111.0,1.0,37.0,1747.6500000003725,21.0,105.0,0.9722007722007722,36.0,1606.449999999255
P048,53,52,18.6,93.0,0.9833333333333334,31.5,595.1500000003725,18.0,90.0,0.9838709677419355,30.5,446.8999999994412
P049,54,53,22.5,112.5,1.0,37.5,1018.9000000003725,19.8,99.0,1.0,33.0,1295.199999999255
P050,55,54,30.9,154.5,0.9905660377358491,52.0,838.9499999992549,24.6,123.0,0.975609756097561,42.0,1202.7000000001863
P051,56,55,12.899999999999999,64.5,1.0,21.5,718.5999999996275,12.600000000000001,63.0,0.9199999999999999,22.0,1243.3999999994412
P052,57,56,23.400000000000002,117.0,0.9888888888888889,39.5,355.34999999962747,25.799999999999997,129.0,0.9878048780487805,43.5,379.25
P053,58,57,31.5,157.5,0.9509869521579124,54.5,283.25,29.1,145.5,0.98,49.5,503.2000000011176
P054,59,58,22.799999999999997,114.0,0.9861111111111112,38.5,387.19999999925494,19.800000000000004,99.0,0.9428571428571428,35.0,1607.0999999996275
P055,60,59,13.8,69.0,0.890625,26.5,1370.3499999996275,11.100000000000001,55.5,0.7708333333333333,24.0,1102.8999999994412
P056,61,60,21.9,109.5,0.9861111111111112,37.0,351.59999999869615,19.200000000000003,96.0,0.9833333333333334,32.5,647.3499999996275
P057,62,61,18.300000000000004,91.5,1.0,30.5,1471.199999999255,17.1,85.5,1.0,28.5,1799.5499999988824
P058,63,62,15.0,75.0,0.9464285714285714,25.5,327.65000000037253,13.5,67.5,0.9761904761904762,23.0,295.5
P059,64,63,23.1,115.5,1.0,38.5,743.6500000003725,23.4,117.0,1.0,39.0,791.6500000003725
P060,65,64,15.900000000000002,79.5,0.8490073145245559,31.0,471.44999999925494,16.5,82.5,0.9814814814814815,28.0,402.90000000037253
P061,66,65,19.5,97.5,0.941722972972973,33.0,1107.2500000018626,21.300000000000004,106.5,1.0,35.5,1543.0999999996275
