participant_code,participant_id,condition_label,display_label,n,requested_n,components,stimulus_text,readability,flicker,fatigue,privacy,order_index,view_duration_ms,view_started_at,view_submitted_at,mask_meta_json
P001,6,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,ubusu kalowew rama kanu uvobo ralo afesit avoba awekemu ibefot sulid esara wike izar ugiwav emok unalig edad ezezit ezipi avub atan uworive nana mumifog finifip kezosa et,4,3,3,,0,25180,2026-07-08T01:23:36.799Z,2026-07-08T01:24:01.979Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69271, 68628, 69101], ""cycle_hz"": 79.3650793659593, ""cycles"": 1, ""dropped_frame_rate"": 0.015000815261699005, ""dropped_frames"": 92, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 383.29999999993015, ""mean_frame_interval_ms"": 4.23078960437013, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 78.78749938049903, ""observed_full_cycle_hz"": 78.78749938049903, ""observed_refresh_hz"": 236.3624981414971, ""per_cycle_slots"": 3, ""permutation"": [1, 0, 2], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 6042, ""safe_flicker_hz"": 50, ""timing_intervals"": 6041, ""width"": 900}"
P001,6,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,efupi suwipif rosi usuwo utotop uputu gopolor weki weba gagiruw medib fife wevin igabopi womuda inebo urone itipup kononun imur igavaro letit vozabu ukulak vadike ivir go,4,4,3,,1,16599,2026-07-08T01:24:02.405Z,2026-07-08T01:24:19.003Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [52124, 51584, 51599, 51693], ""cycle_hz"": 59.52380952446948, ""cycles"": 1, ""dropped_frame_rate"": 0.0242409402546523, ""dropped_frames"": 99, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 420.9000000000233, ""mean_frame_interval_ms"": 4.271191969887094, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.531670260329825, ""observed_full_cycle_hz"": 58.531670260329825, ""observed_refresh_hz"": 234.1266810413193, ""per_cycle_slots"": 4, ""permutation"": [0, 1, 2, 3], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 3986, ""safe_flicker_hz"": 50, ""timing_intervals"": 3985, ""width"": 900}"
P001,6,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,luwe vurudo ugovo firapav aval arev bedel ewito unigir emat neriven anetani kesevi ibesu lurum ikali galeta felusu opokanu ozudu egatan arupoti buwir evovu ebeta gawuru u,5,5,4,,2,15113,2026-07-08T01:24:19.299Z,2026-07-08T01:24:34.411Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103598, 103402], ""cycle_hz"": 119.04761904893896, ""cycles"": 1, ""dropped_frame_rate"": 0.0183982683982684, ""dropped_frames"": 68, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 291.60000000009313, ""mean_frame_interval_ms"": 4.245865490628446, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 117.76162035834848, ""observed_full_cycle_hz"": 117.76162035834848, ""observed_refresh_hz"": 235.52324071669696, ""per_cycle_slots"": 2, ""permutation"": [0, 1], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 3629, ""safe_flicker_hz"": 50, ""timing_intervals"": 3628, ""width"": 900}"
P001,6,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,emiga ibiw irisizu kolak muzi nafar fanur ugobovo awebag zaka areki evagive umesinu bawu agisul widofal ibuk posuwu minig agizok ubef lapokef inevus dariroz godawe valiro,2,3,2,,3,15351,2026-07-08T01:24:34.572Z,2026-07-08T01:24:49.923Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51592, 51845, 51801, 51762], ""cycle_hz"": 59.52380952446948, ""cycles"": 1, ""dropped_frame_rate"": 0.009940891993551854, ""dropped_frames"": 37, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 158.30000000004657, ""mean_frame_interval_ms"": 4.208439620081436, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.40444026025074, ""observed_full_cycle_hz"": 59.40444026025074, ""observed_refresh_hz"": 237.61776104100295, ""per_cycle_slots"": 4, ""permutation"": [3, 0, 2, 1], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 3686, ""safe_flicker_hz"": 50, ""timing_intervals"": 3685, ""width"": 900}"
P001,6,control_anchor,未遮罩原文（量表锚点）,1,1,none,butesa egigota onupo komola rade wawi gezodu azite usosi obot egol elupul tatetin fezeru imude uwev unuputi ubefusu zudiz arovep emiv idogo baki erutiz itone igidaze mese,5,5,5,,4,10814,2026-07-08T01:24:49.925Z,2026-07-08T01:25:00.739Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380978779, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.16661526599844, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0029607150137, ""observed_full_cycle_hz"": 240.0029607150137, ""observed_refresh_hz"": 240.0029607150137, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 2595, ""safe_flicker_hz"": 50, ""timing_intervals"": 2594, ""width"": 900}"
P001,6,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,edok oredovi onub odez esedof oworif avusu gekuw nuzala eravaf udutimo ulifu asapu ufir ipata mepe eliwu telewo esefata okagapo dupiv isesa takego udepi ufubes evuvabo ru,2,1,1,,5,11278,2026-07-08T01:25:03.830Z,2026-07-08T01:25:15.107Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 25442, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [52074, 51758, 51390, 51778], ""cycle_hz"": 59.52380952446948, ""cycles"": 6, ""dropped_frame_rate"": 0.2138291690877397, ""dropped_frames"": 736, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 3091.600000000093, ""mean_frame_interval_ms"": 5.309127864005913, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 47.08871332614067, ""observed_full_cycle_hz"": 37.67097066091254, ""observed_refresh_hz"": 188.35485330456268, ""per_cycle_slots"": 5, ""permutation"": [3, 1, 0, 2], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 2707, ""safe_flicker_hz"": 50, ""timing_intervals"": 2706, ""width"": 900}"
P002,7,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,umat pededaw lifesi larid gefob bofuzar tamus kuke dunozor pizu upup ekagofa ufaki obese obelab tefidus emora owebasu ibopafo vudo apik ofefa ivisiku upabife vesepif wibe,4,4,5,,0,17397,2026-07-08T01:30:05.998Z,2026-07-08T01:30:23.395Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51588, 52226, 51817, 51369], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.005243088655862726, ""dropped_frames"": 22, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 91.70000000001164, ""mean_frame_interval_ms"": 4.188596070915192, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.68586986364048, ""observed_full_cycle_hz"": 59.68586986364048, ""observed_refresh_hz"": 238.7434794545619, ""per_cycle_slots"": 4, ""permutation"": [0, 3, 2, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4175, ""safe_flicker_hz"": 50, ""timing_intervals"": 4174, ""width"": 900}"
P002,7,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,remin ugekemu ibuz tuse ogezipu gokiv vafon tadel iviwez wafu zowapup upugu ipub kati peride ematik side sikin uwanupe uvoleku udetov uluvedi ozaki povilu ivozumu ozilob,5,3,4,,1,13983,2026-07-08T01:30:23.419Z,2026-07-08T01:30:37.403Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51655, 51939, 51680, 51726], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.001487652484379649, ""dropped_frames"": 5, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 25.099999999976717, ""mean_frame_interval_ms"": 4.172854588796179, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.91102605665494, ""observed_full_cycle_hz"": 59.91102605665494, ""observed_refresh_hz"": 239.64410422661976, ""per_cycle_slots"": 4, ""permutation"": [1, 3, 2, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 3357, ""safe_flicker_hz"": 50, ""timing_intervals"": 3356, ""width"": 900}"
P002,7,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,uvuberu tolo mukik dukaf ibuwo vefegu nakol bezi erolamu ukew toba davowud ererop pase elifo onamoba upis bifare mubig izirori ebase molelak tidivok dewan refupek esivov,5,5,4,,2,11794,2026-07-08T01:30:37.465Z,2026-07-08T01:30:49.259Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69198, 68729, 69073], ""cycle_hz"": 79.36507936513436, ""cycles"": 1, ""dropped_frame_rate"": 0.00492091388400703, ""dropped_frames"": 14, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 62.600000000034925, ""mean_frame_interval_ms"": 4.1872483221476635, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.60677458994473, ""observed_full_cycle_hz"": 79.60677458994473, ""observed_refresh_hz"": 238.8203237698342, ""per_cycle_slots"": 3, ""permutation"": [0, 1, 2], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2832, ""safe_flicker_hz"": 50, ""timing_intervals"": 2831, ""width"": 900}"
P002,7,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,pebok agik doroler rezoge gomir ifar omatez dosezot duvoz buzaro iniro pefaso alaf asek oside dodi mebeli dabebe omemiwo uzez ekunuro ofip fafere emod amamem kino obiwuf,4,3,4,,3,12166,2026-07-08T01:30:49.637Z,2026-07-08T01:31:01.803Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 25252, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51971, 51767, 51574, 51688], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0.029587765957446808, ""dropped_frames"": 89, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 375, ""mean_frame_interval_ms"": 4.295066803699894, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.20631236390615, ""observed_full_cycle_hz"": 46.56504989112492, ""observed_refresh_hz"": 232.8252494556246, ""per_cycle_slots"": 5, ""permutation"": [0, 1, 2, 3], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2920, ""safe_flicker_hz"": 50, ""timing_intervals"": 2919, ""width"": 900}"
