participant_code,participant_id,condition,trial_index,condition_repetition,n,requested_n,components,target_text,typed_text,correct_chars,correct_letters,attempted_chars,attempted_letters,total_chars,accuracy,cpm,wpm,duration_s,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,mask_meta_json
P001,6,masked,0,1,4,4,mask+noise+anti-ocr+inversion,uzuz waduzu gokoba wofuv atuliwa arud erilif nunom kotova alozu inov romitig fizati gobupuw erawa ipoli adabin unususe lamodat defifa welaruw niwug ulup gamepar debi nigune gimibi uvabos avamib padom idagatu levo bukamal,uzuz waduzu gokoba wofuv atauliwa aru,36,31,37,32,220,0.972972972972973,108.0,21.6,20.0,1,36,0.02702702702702703,msd_target_prefix_v1,1007.3000000000466,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 35271, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58588, 58210, 58731, 58471], ""cycle_hz"": 59.52380952446948, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.400000000023283, ""mean_frame_interval_ms"": 4.166624999999986, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00060000600027, ""observed_full_cycle_hz"": 48.00048000480022, ""observed_refresh_hz"": 240.00240002400108, ""per_cycle_slots"": 5, ""permutation"": [1, 0, 3, 2], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P001,6,control,1,1,1,1,none,vakow kozone gebup omak zuteg kaga uduzive rono epuw agobom ukuv ponip ovob etinur ewesu nipuluz isuzubu otad ewal ifevipo azopif domofow giros kulivot ruri mupapan ibovun upolo evepaz paga kobum asekan apizam ipibo mava,wakow koaone gebup omak zuteg kaga uduzive ro,43,36,45,38,220,0.9555555555555556,129.0,25.8,20.0,2,45,0.044444444444444446,msd_target_prefix_v1,671.8000000000466,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380978779, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.699999999953434, ""mean_frame_interval_ms"": 4.166638883100636, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407455, ""observed_full_cycle_hz"": 240.00160034407455, ""observed_refresh_hz"": 240.00160034407455, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P001,6,control,2,2,1,1,none,ozap usikasa asodak felova wimemip mowutu udipu nige fonepun akuz egulo sewabad pegi folos vutiziz dumogi kinogon giwe arepa etirov ufamof bonewu ipemos ikiva terigi uzeni geto wigaro osulara libumed ibugapi owin uzate e,ozap usikasa asodak feliva wime,30,26,31,27,220,0.967741935483871,90.0,18.0,20.0,1,31,0.03225806451612903,msd_target_prefix_v1,878.3000000000466,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380978779, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166638883100636, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407455, ""observed_full_cycle_hz"": 240.00160034407455, ""observed_refresh_hz"": 240.00160034407455, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P001,6,masked,3,2,4,4,mask+noise+anti-ocr+inversion,izopew kamazon owufas ubezu afas leluzo afelewu umuvika sogud gile zape iniza azuru memos lodawe banupo nulawar mibude gatav odisifa zesube vibami dofinep nefab vesogun ipuze dikimop ufed beti punimo uweg otitisu uwevot,izopew kanazon owufas ubezu afas leluzo,39,33,40,34,219,0.975,117.0,23.400000000000002,20.0,1,40,0.025,msd_target_prefix_v1,575.1000000000931,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34874, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58895, 58195, 58520, 58390], ""cycle_hz"": 59.52380952446948, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166604166666657, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00090001350034, ""observed_full_cycle_hz"": 48.00072001080027, ""observed_refresh_hz"": 240.00360005400137, ""per_cycle_slots"": 5, ""permutation"": [2, 1, 3, 0], ""refresh_hz"": 238.0952380978779, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P002,7,control,0,1,1,1,none,umetazu sata ikemazo ukikiko ebimig ozobu vanu alos otufe nevefi emazobi nidivi geworut taguw tibutom otopod uvuna gonolub kozavif vugom domovap tokur soro adakuma inezame efub unuvos setak ilor alawi temirem fezatos uru,umetazu sata ikemazo ukikiko,29,25,29,25,220,1.0,87.0,17.400000000000002,20.0,0,29,0.0,msd_target_prefix_v1,567.4000000001397,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.7000000000116415, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407384, ""observed_full_cycle_hz"": 240.00160034407384, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P002,7,masked,1,1,4,4,mask+noise+anti-ocr+inversion,kazoreb uburoge oluw anatuv esem fakul odus fiwin soluva aboper sikopo lozi osumudo memo tuta vesebat gologa uvam wedide zagi ezuba afog ezele aped zaguvoz ibaf reruz kabipu fufoke kupuso kisu evovuda zunivu irofer gevu,kazoreb uburoge oluw anatuv,28,24,28,24,219,1.0,84.0,16.8,20.0,0,28,0.0,msd_target_prefix_v1,567.1999999999534,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34497, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58907, 58084, 58630, 58379], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166625000000003, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00060000600001, ""observed_full_cycle_hz"": 48.00048000480001, ""observed_refresh_hz"": 240.00240002400005, ""per_cycle_slots"": 5, ""permutation"": [0, 1, 3, 2], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P002,7,masked,2,2,4,4,mask+noise+anti-ocr+inversion,imika atudusu idezu ovofu igini ebiw obadet bezuk eruwub pusul kumaz pesit beda nero fure febu agidi inodopu omawuze iwid lodar lisese lolub evebiwi seviboz manered ufuf dedi isiwoza alenega oniw pova bapo ovugega ototub,imika atudusu idezu ovofu ig,28,24,28,24,220,1.0,84.0,16.8,20.0,0,28,0.0,msd_target_prefix_v1,527.8000000000466,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34880, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58574, 58569, 58364, 58493], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166618045426132, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.000700154033865, ""observed_full_cycle_hz"": 48.00056012322709, ""observed_refresh_hz"": 240.00280061613546, ""per_cycle_slots"": 5, ""permutation"": [2, 3, 0, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P002,7,control,3,2,1,1,none,ezetap pumo modu ogune rolepup zudir sibunav gedonon gokok umato tipe reguv nile ugig unuza dukuk rarugez ibes rirunov lavi sewok ibewine anokak iwepu kudil evagunu siget uwazera ewub aroriz ebiz uvab epifubo dedurip miv,ezetap pumo modu ogune rolepup,31,26,31,26,220,1.0,93.0,18.6,20.0,0,31,0.0,msd_target_prefix_v1,390.10000000009313,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166624999999997, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0024000240004, ""observed_full_cycle_hz"": 240.0024000240004, ""observed_refresh_hz"": 240.0024000240004, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P003,8,masked,0,1,4,4,mask+noise+anti-ocr+inversion,pesir epan ivukasi agemur awawi obik dafasa mosozis elavaw nide iruvawi vofovo laped onazuso itilaba fozawu zusi gimiki ipem zofiron medubaf kovotip ovafote tefadig unukom uvezal edotig ulobimi amusa powo goti udif ewoba,pesir epan ivukasi agenur awa,28,24,29,25,220,0.9655172413793104,84.0,16.8,20.0,1,29,0.034482758620689655,msd_target_prefix_v1,494.89999999990687,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34956, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58673, 58697, 58438, 58192], ""cycle_hz"": 59.523809523799216, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.400000000008731, ""mean_frame_interval_ms"": 4.166625000000001, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00060000600005, ""observed_full_cycle_hz"": 48.00048000480004, ""observed_refresh_hz"": 240.0024000240002, ""per_cycle_slots"": 5, ""permutation"": [2, 1, 0, 3], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P003,8,control,1,1,1,1,none,oserit evogow bipobe akopoka uneses izemoto alab omimupu itivu guropi otaribi fevegub usenule itadiru upudi odat bogof ubupat giza umodid fesup bigela wimin gaguven kosir kefi nasa alosak bari memivup iladub nike womapog,oserit evogow bipobe akopoka uneses izem,40,35,40,35,220,1.0,120.0,24.0,20.0,0,40,0.0,msd_target_prefix_v1,462.89999999990687,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809519686, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166638883100642, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407418, ""observed_full_cycle_hz"": 240.00160034407418, ""observed_refresh_hz"": 240.00160034407418, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
